0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
2.1622927115787003,-1.2349396941171127,0.5262840817368154,1.0374393254569028,-1.9065000037239506,Toyota,Avalon,Limited,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Black,Unknown,Yes,Dubai,Dealer,158000
2.175170572154742,7.940318667168597,1.0453676607485403,1.5422832158283073,-1.962314873266091,Audi,A8,L,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Beige,No,Dubai,Dealer,185000
2.171914599783868,-17.370432743944818,0.4839199120623408,0.848054931182163,-1.9552768114204246,Hyundai,Elantra,Other,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Red,Unknown,Does not apply,Dubai,Owner,49000
2.215676878983235,16.172492114813373,1.7493641328927725,1.7811616565682038,-1.9314005683218007,Jeep,Grand Cherokee,Overland,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Black,Beige,No,Dubai,Owner,58000
2.19525676319117,-20.327162797461177,2.460780940132247,4.308256506975034,,Mitsubishi,L200,Double Cab GL,Pick Up Truck,Petrol,Manual Transmission,2000 - 2499 cc,200 - 299 HP,White,Unknown,No,Dubai,Dealer,49000
2.2328814412646563,,0.45354424766414725,1.7059051488238073,-1.8580920030828814,Porsche,Macan,Turbo,Coupe,Petrol,Automatic Transmission,3500 - 3999 cc,400 - 499 HP,White,Tan,No,Dubai,Owner,169999
2.170685561244857,-7.351720460740107,0.31630417888806533,2.6806269444213586,-1.9516554156087111,Mazda,3,S,Hatchback,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,White,Black,No,Dubai,Owner,75000
2.212551895524268,20.836213739797287,1.7970449107914142,26.23355565142159,-1.8750910888506864,Lexus,LX570,Signature,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,Blue,Unknown,No,Dubai,Dealer,185000
2.161507143605525,11.260106058906647,0.42218171971800095,0.13388371435044308,-1.835664202908785,Infiniti,QX80,Luxury,SUV,Petrol,Automatic Transmission,,400 - 499 HP,Burgundy,Tan,Yes,Dubai,Dealership/Certified Pre-Owned,259000
2.2000414438666347,8.908857552842408,,3.285255526299262,-1.896696421276647,Land Rover,Range Rover,Other,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Silver,Unknown,No,Dubai,Dealer,450900
2.197545836038433,-11.276553511251308,3.639538516282976,3.7222901885647564,-1.9592908367484632,Cadillac,CTS/Catera,Other,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,White,Beige,No,Abu Dhabi,Dealer,34000
2.1973989219091283,3.590606988774894,1.690761550079576,2.1180969214387027,,Porsche,Cayenne,Turbo,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,White,Brown,No,Dubai,Dealer,103900
2.2283276927628606,-1.1898081241431027,1.5337654961603553,3.1819631175722747,-1.888645632416073,Land Rover,Range Rover Sport,HSE,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Grey,Beige,No,Dubai,Dealer,90900
2.1860862773621186,-23.24261874096708,0.712737081851935,3.294831573662906,-1.8958643713322227,Land Rover,Range Rover Velar,R-Dynamic,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Grey,Blue,Yes,Dubai,Dealer,168000
2.1816010386867046,4.633190907777708,0.861338625934761,0.2196584756333923,-2.111367992382312,BMW,Z4,Sdrive30i,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Unknown,Yes,Abu Dhabi,Dealer,200000
2.2079076646379665,,0.9967528851818858,4.027670187341402,-1.9494515472246396,BMW,5-Series,528i,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Brown,No,Dubai,Dealer,76000
2.1512656393606733,-22.688998564087044,0.366657748884903,1.694720011625181,-1.9223918244688047,Kia,Sportage,Other,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Black,Beige,No,Dubai,Dealer,112000
,,0.6049794756624525,0.09084865222373438,-2.0843420588482675,Chevrolet,Corvette,Stingray,Coupe,Petrol,Manual Transmission,,,Blue,Blue,No,Dubai,Dealer,599999
2.2183924139821687,25.392728688289196,0.6076243220784493,3.0732092896760403,-1.954501221136439,Audi,S8,S-Line,Sedan,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Grey,Tan,No,Dubai,Owner,145000
2.1761907978187347,,0.6445150344873232,,-1.8367758567842762,Porsche,Taycan,Other,Sedan,Electric,Automatic Transmission,Unknown,Unknown,Blue,Unknown,Yes,Abu Dhabi,Owner,425000
2.2088237701412683,11.160594058754123,0.7062592718041666,0.734561298272934,-2.0622384196707517,BMW,4-Series,435i,Coupe,Petrol,Automatic Transmission,Unknown,400 - 499 HP,White,Unknown,Yes,Abu Dhabi,Owner,57000
2.2131821631479442,11.273349138966381,0.6353676896565715,2.515032858315735,-1.885350926708378,Land Rover,Range Rover,HSE,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,White,Beige,No,Dubai,Dealer,119900
2.2265417050313863,-33.41239574094998,,2.658661799794132,-1.9157530644997032,Mercedes-Benz,C-Class,C200,Sedan,Petrol,Automatic Transmission,,,Brown,Beige,Does not apply,Dubai,Dealer,68000
2.1847631489975394,-24.38075191075057,0.751500795610976,2.528111507894667,-1.9283277140481878,Ford,Focus,Trend,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Blue,Unknown,Does not apply,Dubai,Owner,28000
2.1905117078308827,46.00652626377547,1.3267495340563393,1.4863163384024025,-2.1452227096711067,Bentley,Continental GT,Other,Coupe,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Unknown,No,Dubai,Dealer,199000
,13.462396823108646,0.6998137916283926,3.367529472952279,-1.9308996270137586,Mercedes-Benz,E-Class,E 55 AMG,Sedan,Petrol,Automatic Transmission,Unknown,400 - 499 HP,Silver,Black,Does not apply,Dubai,Owner,37500
,-6.253808087700928,0.6632281935975797,1.4764887353515135,,Abarth,695,Other,Hatchback,Petrol,Automatic Transmission,,200 - 299 HP,Black,Black,Yes,Dubai,Owner,109000
2.1830045678947143,-21.79350113513766,0.5332953714747422,2.9228301536872126,-1.8841508531490185,Kia,Rio,Other,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Black,Black,No,Abu Dhabi,Dealer,52900
2.1678873575686657,-24.093441846856955,0.38390170934483026,2.7759521794582858,-1.902613039962709,Lexus,TX,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Black,Black,Does not apply,Dubai,Dealer,330000
